"Member","Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"10000","1000","Load Cases: cap","-3.5527136788005E-15","0","-1.66533453693773E-16","0","2.90045765183322E-15","0"
"10000","1000","Load Cases: cap","-3.5527136788005E-15","0","-1.66533453693773E-16","0","2.90045765183322E-15","0"
"10000","1001","Load Cases: cap","3.5527136788005E-15","0","0.509374976158142","0","0.127343744039536","0"
"10000","1001","Load Cases: cap","3.5527136788005E-15","0","0.509374976158142","0","0.127343744039536","0"
"10001","1001","Load Cases: cap","1.06581410364015E-14","0","-0.509374976158142","0","-0.127343744039536","0"
"10001","1001","Load Cases: cap","1.06581410364015E-14","0","-0.509374976158142","0","-0.127343744039536","0"
"10001","1002","Load Cases: cap","-1.06581410364015E-14","0","1.01874995231628","0","0.509374976158142","0"
"10001","1002","Load Cases: cap","-1.06581410364015E-14","0","1.01874995231628","0","0.509374976158142","0"
"10002","1002","Load Cases: cap","7.105427357601E-15","0","-1.01874995231628","0","-0.509374976158142","0"
"10002","1002","Load Cases: cap","7.105427357601E-15","0","-1.01874995231628","0","-0.509374976158142","0"
"10002","1003","Load Cases: cap","-7.105427357601E-15","0","1.52812504768372","0","1.14609372615814","0"
"10002","1003","Load Cases: cap","-7.105427357601E-15","0","1.52812504768372","0","1.14609372615814","0"
"10003","1003","Load Cases: cap","1.06581410364015E-14","0","-1.52812504768372","0","-1.14609372615814","0"
"10003","1003","Load Cases: cap","1.06581410364015E-14","0","-1.52812504768372","0","-1.14609372615814","0"
"10003","1004","Load Cases: cap","-1.06581410364015E-14","0","2.03749990463257","0","2.03749990463257","0"
"10003","1004","Load Cases: cap","-1.06581410364015E-14","0","2.03749990463257","0","2.03749990463257","0"
"10004","1004","Load Cases: cap","7.105427357601E-15","0","-2.03749990463257","0","-2.03749990463257","0"
"10004","1004","Load Cases: cap","7.105427357601E-15","0","-2.03749990463257","0","-2.03749990463257","0"
"10004","1005","Load Cases: cap","-7.105427357601E-15","0","2.546875","0","3.18359375","0"
"10004","1005","Load Cases: cap","-7.105427357601E-15","0","2.546875","0","3.18359375","0"
"10005","1005","Load Cases: cap","7.105427357601E-15","0","-2.546875","0","-3.18359375","0"
"10005","1005","Load Cases: cap","7.105427357601E-15","0","-2.546875","0","-3.18359375","0"
"10005","1006","Load Cases: cap","-7.105427357601E-15","0","3.05625009536743","0","4.58437490463257","0"
"10005","1006","Load Cases: cap","-7.105427357601E-15","0","3.05625009536743","0","4.58437490463257","0"
"10006","1006","Load Cases: cap","0","0","-3.05625009536743","0","-4.58437490463257","0"
"10006","1006","Load Cases: cap","0","0","-3.05625009536743","0","-4.58437490463257","0"
"10006","1007","Load Cases: cap","0","0","3.56562495231628","0","6.23984384536743","0"
"10006","1007","Load Cases: cap","0","0","3.56562495231628","0","6.23984384536743","0"
"10007","1007","Load Cases: cap","7.105427357601E-15","0","-3.56562495231628","0","-6.23984384536743","0"
"10007","1007","Load Cases: cap","7.105427357601E-15","0","-3.56562495231628","0","-6.23984384536743","0"
