"Member","Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"10000","1000","SRV","1.17885395097518E-13","0","1.28795561726794E-13","0","-1.57402161154133E-12","0"
"10000","1000","SRV","-1.53951568077254E-14","0","-6.2397198796844E-14","0","-4.71925046424386E-13","0"
"10000","1001","SRV","3.08018002376548E-15","0","0.509374976158072","0","0.127343744038981","0"
"10000","1001","SRV","6.85601963435801E-14","0","0.509374976158167","0","0.127343744040016","0"
"10001","1001","SRV","-2.89453001286497E-13","0","-0.509374976158182","0","-0.127343744040315","0"
"10001","1001","SRV","-4.57339310012936E-13","0","-0.509374976158273","0","-0.127343744038422","0"
"10001","1002","SRV","5.54913468726779E-13","0","1.01874995231623","0","0.509374976156351","0"
"10001","1002","SRV","2.71135434555548E-13","0","1.01874995231631","0","0.50937497615786","0"
"10002","1002","SRV","1.22156881142307E-13","0","-1.01874995231658","0","-0.509374976160093","0"
"10002","1002","SRV","-1.47191939841416E-14","0","-1.01874995231634","0","-0.509374976157634","0"
"10002","1003","SRV","1.81946675186716E-13","0","1.52812504768363","0","1.146093726157","0"
"10002","1003","SRV","-1.22156881142307E-13","0","1.52812504768401","0","1.1460937261598","0"
"10003","1003","SRV","-6.30085789264984E-13","0","-1.52812504768334","0","-1.14609372616021","0"
"10003","1003","SRV","-7.70997696971738E-13","0","-1.52812504768324","0","-1.14609372615753","0"
"10003","1004","SRV","9.75313818648745E-13","0","2.03749990463215","0","2.03749990463137","0"
"10003","1004","SRV","6.30085789264984E-13","0","2.03749990463219","0","2.03749990463406","0"
"10004","1004","SRV","-1.37206616555839E-13","0","-201.123509726225","0","-2.03749990463501","0"
"10004","1004","SRV","-7.68024608705171E-13","0","-139.837274092067","0","-2.03749990463142","0"
"10004","1005","SRV","1.98779343614926E-13","0","138.510620117152","0","71.1654663085763","0"
"10004","1005","SRV","1.60508767298484E-13","0","214.257337762147","0","109.038825131074","0"
"10005","1005","SRV","-8.08102303790403E-13","0","-214.257337762147","0","-109.038825131074","0"
"10005","1005","SRV","-1.98164757955703E-13","0","-138.510620117152","0","-71.1654663085764","0"
"10005","1006","SRV","1.98164757955703E-13","0","139.01999521252","0","140.548120021785","0"
"10005","1006","SRV","8.08102303790403E-13","0","214.766712857515","0","216.29483766678","0"
"10006","1006","SRV","-5.148195408786E-13","0","-214.766712857515","0","-216.29483766678","0"
"10006","1006","SRV","-1.5199323055067E-13","0","-139.01999521252","0","-140.548120021785","0"
"10006","1007","SRV","1.5199323055067E-13","0","139.529370069469","0","210.185461521096","0"
"10006","1007","SRV","5.148195408786E-13","0","215.276087714464","0","323.805537988588","0"
"10007","1007","SRV","-6.56162723304734E-13","0","-215.276087714464","0","-323.805537988588","0"
"10007","1007","SRV","5.72580603219427E-14","0","-139.529370069469","0","-210.185461521096","0"
"10007","1008","SRV","-5.72580603219427E-14","0","140.038744926418","0","280.077489852835","0"
"10007","1008","SRV","6.56162723304734E-13","0","215.785462571413","0","431.570925142825","0"
