"Member","Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"10001","1001","STR","1.75470082913866E-13","0","-1.88200813819838E-13","0","-4.33317071091648E-13","0"
"10001","1001","STR","1.63019041807568E-14","0","-4.19648310865255E-13","0","1.24358758844555E-12","0"
"10001","1002","STR","-1.33220715075807E-14","0","0.636718720198093","0","0.15917968004811","0"
"10001","1002","STR","-1.46211066902301E-13","0","0.636718720197896","0","0.159179680049767","0"
"10002","1002","STR","8.07611014502669E-13","0","-0.636718720197499","0","-0.159179680049237","0"
"10002","1002","STR","1.98992484828232E-13","0","-0.636718720197283","0","-0.159179680045874","0"
"10002","1003","STR","-1.98992484828232E-13","0","1.27343744039496","0","0.636718720194479","0"
"10002","1003","STR","-8.05520663201334E-13","0","1.27343744039518","0","0.636718720196947","0"
"10003","1003","STR","-8.61815040088034E-14","0","-1.27343744039529","0","-0.636718720197209","0"
"10003","1003","STR","-7.98018830858632E-13","0","-1.27343744039523","0","-0.636718720193187","0"
"10003","1004","STR","4.02987603245713E-13","0","1.91015630960444","0","1.43261715769264","0"
"10003","1004","STR","8.61815040088034E-14","0","1.91015630960458","0","1.4326171576969","0"
"10004","1004","STR","8.57118363146406E-13","0","-171.864837705878","0","-1.43261715769892","0"
"10004","1004","STR","-2.01123940033947E-13","0","-264.753737441274","0","-1.43261715769337","0"
"10004","1005","STR","-8.10631682582661E-13","0","172.501556277053","0","87.5242155789241","0"
"10004","1005","STR","5.70497324456448E-13","0","305.058312156047","0","153.802593518419","0"
"10005","1005","STR","-9.98798179851417E-13","0","-305.058312156047","0","-153.802593518419","0"
"10005","1005","STR","1.26081591529499E-13","0","-172.501556277053","0","-87.5242155789243","0"
"10005","1006","STR","-1.26081591529499E-13","0","173.138275146262","0","173.934173583765","0"
"10005","1006","STR","9.98798179851417E-13","0","305.695031025257","0","306.490929462757","0"
"10006","1006","STR","-1.95468336694496E-12","0","-305.695031025257","0","-306.490929462757","0"
"10006","1006","STR","4.6567070320767E-13","0","-173.138275146262","0","-173.934173583765","0"
"10006","1007","STR","-4.6567070320767E-13","0","173.774994015472","0","260.662490725187","0"
