"Member","Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"10000","1000","SRV","0","0","-1.2717030030352E-13","0","5.60513647476176E-14","0"
"10000","1000","SRV","0","0","4.45889438382461E-14","0","2.67938833472037E-13","0"
"10000","1001","SRV","0","0","-3.28725167661912E-14","0","-5.00259482847193E-14","0"
"10000","1001","SRV","0","0","1.27695134817525E-13","0","1.77031545825984E-13","0"
"10001","1001","SRV","-1.77601392747119E-13","0","-1.20170948600826E-13","0","-3.8010101448473E-13","0"
"10001","1001","SRV","-4.32857671596867E-13","0","-1.16384736798443E-13","0","1.02123913591544E-12","0"
"10001","1002","SRV","2.60943849748795E-13","0","1.29999995231637","0","0.324999988078597","0"
"10001","1002","SRV","4.40907272152338E-13","0","1.29999995231642","0","0.324999988080792","0"
"10002","1002","SRV","7.84432932442467E-13","0","-1.29999995231638","0","-0.32499998808055","0"
"10002","1002","SRV","5.78565116478241E-13","0","-1.29999995231646","0","-0.324999988078468","0"
"10002","1003","SRV","-4.97249980602297E-13","0","2.59999990463271","0","1.29999995231472","0"
"10002","1003","SRV","-8.30467327392875E-13","0","2.59999990463289","0","1.2999999523187","0"
"10003","1003","SRV","5.2717085271234E-13","0","-2.59999990463278","0","-1.29999995231818","0"
"10003","1003","SRV","2.27283326572272E-13","0","-2.59999990463259","0","-1.29999995231328","0"
"10003","1004","SRV","-2.2116543543143E-13","0","3.90000009536746","0","2.9249999523128","0"
"10003","1004","SRV","-4.71067493090964E-13","0","3.9000000953674","0","2.92499995231759","0"
"10004","1004","SRV","-2.27719415531211E-13","0","-3.90000009536756","0","-2.92499995232","0"
"10004","1004","SRV","4.10970433455465E-14","0","-3.90000009536744","0","-2.92499995231461","0"
"10004","1005","SRV","-4.10970433455465E-14","0","5.19999980926514","0","5.19999980926241","0"
"10004","1005","SRV","9.87147793651064E-14","0","5.19999980926536","0","5.19999980926772","0"
"10005","1005","SRV","-1.07144367894398E-13","0","-5.19999980926532","0","-5.19999980926821","0"
"10005","1005","SRV","-9.94292612292149E-14","0","-5.19999980926518","0","-5.19999980926279","0"
"10005","1006","SRV","2.33203819523545E-13","0","6.50000000000004","0","8.12499999999799","0"
"10005","1006","SRV","-4.70192968367067E-14","0","6.5000000000001","0","8.12500000000314","0"
"10006","1006","SRV","4.01347940861106E-13","0","-111.952817014722","0","-8.12500000000444","0"
"10006","1006","SRV","6.2736879542112E-13","0","-223.133398509245","0","-8.12499999999573","0"
"10006","1007","SRV","-4.51284873973586E-13","0","103.410999297873","0","59.5054993628351","0"
"10006","1007","SRV","-6.2736879542112E-13","0","224.43339869998","0","120.016699063888","0"
"10007","1007","SRV","5.8862777508141E-13","0","-224.43339869998","0","-120.016699063888","0"
"10007","1007","SRV","7.81073667620394E-13","0","-103.410999297873","0","-59.5054993628363","0"
"10007","1008","SRV","-7.81073667620394E-13","0","104.710999488608","0","111.535999297875","0"
"10007","1008","SRV","-5.8862777508141E-13","0","225.733398890715","0","232.558398699981","0"
"10008","1008","SRV","2.89335255114547E-13","0","-324.097401118498","0","-232.55839869998","0"
"10008","1008","SRV","2.98052733078922E-13","0","-203.075001716391","0","-111.535999297874","0"
"10008","1009","SRV","-2.98052733078922E-13","0","204.375000953451","0","213.398506641055","0"
"10008","1009","SRV","-2.89335255114547E-13","0","325.397400355558","0","394.932105939307","0"
"10009","1009","SRV","-3.89249264094628E-12","0","140.462835834211","0","-394.932105939307","0"
"10009","1009","SRV","-4.78312675039555E-12","0","107.506294218716","0","-213.398506641055","0"
"10009","1010","SRV","4.5155396159067E-12","0","-125.999428684601","0","153.986322813302","0"
"10009","1010","SRV","3.89249264094628E-12","0","-139.162836597151","0","325.025686796755","0"
"10010","1010","SRV","-3.96565410185607E-12","0","139.162836597151","0","-325.025686796755","0"
"10010","1010","SRV","-4.5001519033416E-12","0","125.999428684601","0","-153.986322813302","0"
"10010","1011","SRV","4.65134280739001E-12","0","-129.91802443745","0","89.7356208612741","0"
"10010","1011","SRV","3.96565410185607E-12","0","-137.862836406416","0","255.769261671123","0"
"10011","1011","SRV","-3.53792945833573E-12","0","137.862836406416","0","-255.769261671123","0"
"10011","1011","SRV","-4.31532956004617E-12","0","129.91802443745","0","-89.7356208612741","0"
"10011","1012","SRV","4.28291774750556E-12","0","-130.120789260489","0","24.7287325347636","0"
"10011","1012","SRV","3.53792945833573E-12","0","-136.562836215681","0","187.162842700205","0"
"10012","1012","SRV","-3.23414623604379E-12","0","136.562836215681","0","-187.162842700205","0"
"10012","1012","SRV","-3.86178847075604E-12","0","130.120789260489","0","-24.7287325347636","0"
"10012","1013","SRV","3.86178847075604E-12","0","-128.820789069754","0","-40.0066616482526","0"
"10012","1013","SRV","3.23414623604379E-12","0","-135.262836024946","0","119.206423574897","0"
"10013","1013","SRV","-3.89312873665934E-12","0","135.262836024946","0","-119.206423574897","0"
"10013","1013","SRV","-4.189588800773E-12","0","128.820789069754","0","40.0066616482526","0"
"10013","1014","SRV","3.43114560881181E-12","0","-130.015187017067","0","-105.001744213627","0"
"10013","1014","SRV","3.85501370410424E-12","0","-119.004533839541","0","59.0401632005598","0"
"10014","1014","SRV","-3.80118675380338E-12","0","119.004533839541","0","-59.0401632005598","0"
"10014","1014","SRV","-3.672145044158E-12","0","130.015187017067","0","105.001744213627","0"
"10014","1015","SRV","3.99587575592399E-12","0","-131.929540977796","0","-170.142352010442","0"
"10014","1015","SRV","3.80118675380338E-12","0","-117.704534602481","0","-0.137106280844272","0"
"10015","1015","SRV","-3.32233861721685E-12","0","117.704534602481","0","0.137106280844272","0"
"10015","1015","SRV","-3.27713656217537E-12","0","131.929540977796","0","170.142352010442","0"
