"Member","Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"10000","1000","STR","1.47668110834886E-13","0","2.62859491964721E-13","0","-2.14168440571704E-12","0"
"10000","1000","STR","-6.10353397816248E-14","0","-5.6613871672469E-14","0","-4.61377971933178E-13","0"
"10000","1001","STR","3.31229288809042E-14","0","1.27350002527225","0","0.318375006317298","0"
"10000","1001","STR","1.78309960724898E-13","0","1.27350002527238","0","0.318375006318731","0"
"10001","1001","STR","-4.210415355629E-13","0","-1.27350002527239","0","-0.318375006319128","0"
"10001","1001","STR","-6.24788410769435E-13","0","-1.27350002527257","0","-0.31837500631612","0"
"10001","1002","STR","7.84545253116543E-13","0","2.54700005054472","0","1.27350002526959","0"
"10001","1002","STR","4.210415355629E-13","0","2.54700005054476","0","1.27350002527212","0"
"10002","1002","STR","-1.31731422579304E-13","0","-2.54700005054523","0","-1.27350002527457","0"
"10002","1002","STR","-6.90866537986993E-14","0","-2.54700005054478","0","-1.27350002527108","0"
"10002","1003","STR","4.45608976367382E-13","0","3.82050007581719","0","2.86537498235504","0"
"10002","1003","STR","1.31731422579304E-13","0","3.8205000758176","0","2.86537498235893","0"
"10003","1003","STR","-9.34594820669129E-13","0","-3.82050007581674","0","-2.86537498235983","0"
"10003","1003","STR","-1.11162467532254E-12","0","-3.82050007581651","0","-2.8653749823555","0"
"10003","1004","STR","1.11162467532254E-12","0","5.09400010108888","0","5.09400010108734","0"
"10003","1004","STR","9.62786141811916E-13","0","5.09400010108919","0","5.09400010109195","0"
"10004","1004","STR","-3.39009676756634E-13","0","-329.69414894141","0","-5.09400010109295","0"
"10004","1004","STR","-1.24741900318167E-12","0","-179.8894637444","0","-5.09400010108734","0"
"10004","1005","STR","2.7098934870183E-13","0","176.32218122479","0","92.9367154836495","0"
"10004","1005","STR","3.39009676756634E-13","0","330.96764866866","0","170.259449205584","0"
"10005","1005","STR","-1.21385771261597E-12","0","-330.96764866866","0","-170.259449205583","0"
"10005","1005","STR","-2.52027407140927E-13","0","-176.32218122479","0","-92.9367154836497","0"
"10005","1006","STR","2.52027407140927E-13","0","177.595681548086","0","181.41618132588","0"
"10005","1006","STR","1.21385771261597E-12","0","332.241148991955","0","336.061648769749","0"
"10006","1006","STR","-8.99653481636375E-13","0","-332.241148991955","0","-336.061648769749","0"
"10006","1006","STR","-2.06577735912418E-13","0","-177.595681548086","0","-181.41618132588","0"
"10006","1007","STR","2.06577735912418E-13","0","178.869181275335","0","270.532397031735","0"
"10006","1007","STR","8.99653481636375E-13","0","333.514648719204","0","502.500598197538","0"
"10007","1007","STR","-1.1636785312266E-12","0","-333.514648719204","0","-502.500598197539","0"
"10007","1007","STR","3.21686705545279E-14","0","-178.869181275335","0","-270.532397031735","0"
"10007","1008","STR","-3.21686705545279E-14","0","180.14268159863","0","360.285363197261","0"
"10007","1008","STR","1.1636785312266E-12","0","334.7881490425","0","669.576298085","0"
"10008","1008","STR","1.12462894903968E-12","0","206.298304169403","0","-669.576298085","0"
"10008","1008","STR","1.55635772552463E-13","0","103.620610214863","0","-360.285363197261","0"
"10008","1009","STR","-3.05952519065031E-13","0","-165.271532244812","0","281.047741467517","0"
"10008","1009","STR","-1.12462894903968E-12","0","-205.024804442154","0","566.745533983441","0"
"10009","1009","STR","1.4152943624783E-12","0","205.024804442154","0","-566.745533983441","0"
"10009","1009","STR","-1.02320546513017E-14","0","165.271532244812","0","-281.047741467517","0"
"10009","1010","STR","8.08630738665538E-14","0","-178.845707689438","0","193.823472468861","0"
"10009","1010","STR","-1.4152943624783E-12","0","-203.751304714905","0","464.551509449742","0"
"10010","1010","STR","7.61353864604033E-13","0","203.751304714905","0","-464.551509449742","0"
"10010","1010","STR","-5.64438215812842E-13","0","178.845707689438","0","-193.823472468861","0"
"10010","1011","STR","5.1155807555764E-13","0","-178.886630714315","0","105.257493444095","0"
"10010","1011","STR","-7.61353864604033E-13","0","-202.477803795563","0","362.994227086762","0"
"10011","1011","STR","6.3866880467423E-13","0","202.477803795563","0","-362.994227086762","0"
"10011","1011","STR","3.22708851740704E-14","0","178.886630714315","0","-105.257493444095","0"
"10011","1012","STR","-3.22708851740704E-14","0","-177.613130987066","0","16.1325545207958","0"
"10011","1012","STR","-6.3866880467423E-13","0","-201.204304068313","0","262.073697609226","0"
"10012","1012","STR","4.63530182029262E-13","0","201.204304068313","0","-262.073697609226","0"
"10012","1012","STR","-3.05054931017203E-13","0","177.613130987066","0","-16.1325545207958","0"
"10012","1013","STR","3.05054931017203E-13","0","-176.339631259817","0","-72.3556382017766","0"
"10012","1013","STR","-3.97885134941076E-13","0","-175.20268199729","0","172.061738184598","0"
"10013","1013","STR","6.54011308162222E-13","0","175.20268199729","0","-172.061738184598","0"
