"Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"1009","SRV","0","-4.935558832635E-12","289.141646055253","0","0","0"
"1009","SRV","0","-4.18182789606082E-12","465.860242120025","0","0","0"
"1037","SRV","0","0","384.262226230196","0","0","0"
"1037","SRV","0","0","616.5129628578","0","0","0"
"1065","SRV","0","0","350.560582431423","0","0","0"
"1065","SRV","0","0","585.037642245148","0","0","0"
"1093","SRV","0","0","347.547349952699","0","0","0"
"1093","SRV","0","0","586.099462386199","0","0","0"
"1121","SRV","0","0","387.891784236257","0","0","0"
"1121","SRV","0","0","617.082281637567","0","0","0"
"1149","SRV","0","0","269.024903423216","0","0","0"
"1149","SRV","0","0","437.109101995523","0","0","0"
