"Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"1009","STR","0","-6.08282682205369E-12","359.836363215025","0","0","0"
"1009","STR","0","-4.76379768304888E-12","669.093906328375","0","0","0"
"1037","STR","0","0","478.513703565807","0","0","0"
"1037","STR","0","0","848.740998469728","0","0","0"
"1065","STR","0","0","431.215127279099","0","0","0"
"1065","STR","0","0","809.339065037463","0","0","0"
"1093","STR","0","0","426.186057648979","0","0","0"
"1093","STR","0","0","807.774478957972","0","0","0"
"1121","STR","0","0","483.67012997418","0","0","0"
"1121","STR","0","0","852.33978570617","0","0","0"
"1149","STR","0","0","334.667374831036","0","0","0"
"1149","STR","0","0","628.814722332574","0","0","0"
