"Member","Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"10000","1000","STR","0","0","-3.177079062324E-13","0","1.50786381677937E-13","0"
"10000","1000","STR","0","0","2.1408938992583E-13","0","2.17444789272997E-13","0"
"10000","1001","STR","0","0","-2.1408938992583E-13","0","-1.12010176104919E-14","0"
"10000","1001","STR","0","0","3.177079062324E-13","0","1.89855610004981E-13","0"
"10001","1001","STR","-2.13959180239727E-13","0","-3.46331110161987E-13","0","-2.00806611438719E-13","0"
"10001","1001","STR","-4.26100652752409E-14","0","-9.07964058670786E-15","0","7.17310669844439E-13","0"
"10001","1002","STR","4.26100652752409E-14","0","1.62499994039531","0","0.406249985099413","0"
"10001","1002","STR","2.13959180239727E-13","0","1.62499994039565","0","0.406249985099053","0"
"10002","1002","STR","1.13982381688527E-12","0","-1.62499994039589","0","-0.406249985100554","0"
"10002","1002","STR","8.38479554369989E-13","0","-1.62499994039526","0","-0.406249985099449","0"
"10002","1003","STR","-8.38479554369989E-13","0","3.24999988079062","0","1.6249999403961","0"
"10002","1003","STR","-1.13982381688527E-12","0","3.24999988079124","0","1.62499994039884","0"
"10003","1003","STR","4.81504446419696E-13","0","-3.24999988079111","0","-1.62499994039585","0"
"10003","1003","STR","4.36212120741234E-13","0","-3.24999988079042","0","-1.62499994039569","0"
"10003","1004","STR","-4.36212120741234E-13","0","4.875000119209","0","3.65624994039413","0"
"10003","1004","STR","-4.81504446419696E-13","0","4.87500011920969","0","3.65624994039411","0"
"10004","1004","STR","-3.6780022204338E-13","0","-4.87500011920995","0","-3.65624994039836","0"
"10004","1004","STR","1.16464311119713E-13","0","-4.87500011920918","0","-3.65624994039957","0"
"10004","1005","STR","-1.16464311119713E-13","0","6.49999976158131","0","6.4999997615829","0"
"10004","1005","STR","3.6780022204338E-13","0","6.49999976158209","0","6.49999976158333","0"
"10005","1005","STR","-5.56434691484102E-13","0","-6.49999976158184","0","-6.49999976158207","0"
"10005","1005","STR","-2.31832409229517E-13","0","-6.49999976158132","0","-6.49999976157837","0"
"10005","1006","STR","2.31832409229517E-13","0","8.1249999999999","0","10.1562499999972","0"
"10005","1006","STR","5.56434691484102E-13","0","8.12500000000042","0","10.1562500000013","0"
"10006","1006","STR","7.21307742034107E-13","0","-340.34069784322","0","-10.156249999993","0"
"10006","1006","STR","4.60478987170187E-13","0","-128.551498889534","0","-10.1562500000009","0"
"10006","1007","STR","-4.60478987170187E-13","0","130.176499127952","0","74.8382492063502","0"
"10006","1007","STR","-7.21307742034107E-13","0","341.965698081639","0","180.732848683193","0"
"10007","1007","STR","7.6364508048243E-13","0","-341.965698081639","0","-180.732848683193","0"
"10007","1007","STR","1.16915742362373E-12","0","-130.176499127952","0","-74.8382492063521","0"
"10007","1008","STR","-1.16915742362373E-12","0","131.801499366371","0","140.332749127955","0"
"10007","1008","STR","-7.6364508048243E-13","0","343.590698320058","0","352.121948081641","0"
"10008","1008","STR","2.46988597898021E-13","0","-467.446701127675","0","-352.12194808164","0"
"10008","1008","STR","3.91272370775904E-13","0","-255.657502173988","0","-140.332749127954","0"
"10008","1009","STR","-3.91272370775904E-13","0","257.282501220314","0","268.567758321181","0"
"10008","1009","STR","-2.46988597898021E-13","0","469.071700174","0","586.251557093121","0"
"10009","1009","STR","-5.63717817156529E-12","0","102.553852815206","0","-268.567758321753","0"
"10009","1009","STR","-5.10152784970899E-12","0","213.541205641661","0","-449.885659042011","0"
"10009","1010","STR","5.10152784970899E-12","0","-211.916206595335","0","343.521302597002","0"
"10009","1010","STR","5.63717817156529E-12","0","-100.928853768881","0","217.697078278276","0"
"10010","1010","STR","-5.46599711926217E-12","0","100.928853768881","0","-217.697078278276","0"
"10010","1010","STR","-5.31283150117187E-12","0","211.916206595335","0","-343.521302597002","0"
"10010","1011","STR","5.31283150117187E-12","0","-210.291206356916","0","237.969443923427","0"
"10010","1011","STR","5.46599711926217E-12","0","-99.3038535304622","0","167.638896208231","0"
"10011","1011","STR","-5.14380148040912E-12","0","99.3038535304622","0","-167.638896208231","0"
"10011","1011","STR","-4.78734829647039E-12","0","210.291206356916","0","-237.969443923427","0"
"10011","1012","STR","4.78734829647039E-12","0","-208.666206118498","0","133.230086816196","0"
"10011","1012","STR","5.14380148040912E-12","0","-97.6788532920436","0","118.393215054118","0"
"10012","1012","STR","-4.55830824624025E-12","0","97.6788532920436","0","-118.393215054118","0"
"10012","1012","STR","-4.59298189640695E-12","0","208.666206118498","0","-133.230086816196","0"
"10012","1013","STR","4.59298189640695E-12","0","-207.041205880079","0","29.3032316225827","0"
"10012","1013","STR","4.55830824624025E-12","0","-96.053853053625","0","69.9600387438623","0"
"10013","1013","STR","-4.98533671299525E-12","0","96.053853053625","0","-69.9600387438623","0"
"10013","1013","STR","-4.67849769848593E-12","0","207.041205880079","0","-29.3032316225827","0"
"10013","1014","STR","4.67849769848593E-12","0","-205.416205641661","0","-73.8111183051017","0"
"10013","1014","STR","4.98533671299525E-12","0","-94.4288528152065","0","22.3393637456058","0"
"10014","1014","STR","-5.11679606084548E-12","0","94.4288528152065","0","-22.3393637456058","0"
"10014","1014","STR","-5.09010958274688E-12","0","205.416205641661","0","73.8111183051017","0"
"10014","1015","STR","5.09010958274688E-12","0","-203.791206595335","0","-176.112975666088","0"
"10014","1015","STR","5.11679606084548E-12","0","-92.8038537688808","0","-24.4688156071435","0"
"10015","1015","STR","-4.37675288515037E-12","0","92.8038537688808","0","24.4688156071435","0"
"10015","1015","STR","-4.36143674265309E-12","0","203.791206595335","0","176.112975666088","0"
"10015","1016","STR","4.36143674265309E-12","0","-202.166206356916","0","-277.602327887204","0"
"10015","1016","STR","4.37675288515037E-12","0","-91.1788535304622","0","-70.4644899874728","0"
"10016","1016","STR","-4.89846631703638E-12","0","91.1788535304622","0","70.4644899874728","0"
"10016","1016","STR","-4.91878128481588E-12","0","202.166206356916","0","277.602327887204","0"
"10016","1017","STR","4.91878128481588E-12","0","-200.541206118498","0","-378.279183792838","0"
"10016","1017","STR","4.89846631703638E-12","0","-89.5538532920436","0","-115.647672966224","0"
"10017","1017","STR","-3.19196569975157E-12","0","89.5538532920436","0","115.647672966224","0"
"10017","1017","STR","-3.07547609866087E-12","0","200.541206118498","0","378.279183792838","0"
"10017","1018","STR","3.07547609866087E-12","0","-198.916205880079","0","-478.143547203465","0"
