"Member","Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"10000","1000","stringers + DW","0","0","2.8421709430404E-14","0","1.20792265079217E-13","0"
"10000","1000","stringers + DW","0","0","2.8421709430404E-14","0","1.20792265079217E-13","0"
"10000","1001","stringers + DW","0","0","-2.8421709430404E-14","0","9.9475983006414E-14","0"
"10000","1001","stringers + DW","0","0","-2.8421709430404E-14","0","9.9475983006414E-14","0"
"10001","1001","stringers + DW","-2.27373675443232E-13","0","-3.19744231092045E-14","0","3.97903932025656E-13","0"
"10001","1001","stringers + DW","-2.27373675443232E-13","0","-3.19744231092045E-14","0","3.97903932025656E-13","0"
"10001","1002","stringers + DW","2.27373675443232E-13","0","3.19744231092045E-14","0","5.6843418860808E-14","0"
"10001","1002","stringers + DW","2.27373675443232E-13","0","3.19744231092045E-14","0","5.6843418860808E-14","0"
"10002","1002","stringers + DW","6.82121026329696E-13","0","-1.50990331349021E-13","0","3.97903932025656E-13","0"
"10002","1002","stringers + DW","6.82121026329696E-13","0","-1.50990331349021E-13","0","3.97903932025656E-13","0"
"10002","1003","stringers + DW","-6.82121026329696E-13","0","1.50990331349021E-13","0","-3.97903932025656E-13","0"
"10002","1003","stringers + DW","-6.82121026329696E-13","0","1.50990331349021E-13","0","-3.97903932025656E-13","0"
"10003","1003","stringers + DW","7.105427357601E-13","0","-6.12843109593086E-14","0","9.09494701772928E-13","0"
"10003","1003","stringers + DW","7.105427357601E-13","0","-6.12843109593086E-14","0","9.09494701772928E-13","0"
"10003","1004","stringers + DW","-7.105427357601E-13","0","6.12843109593086E-14","0","-1.36424205265939E-12","0"
"10003","1004","stringers + DW","-7.105427357601E-13","0","6.12843109593086E-14","0","-1.36424205265939E-12","0"
"10004","1004","stringers + DW","2.55795384873636E-13","0","-1.30562227695918E-13","0","-3.41060513164848E-13","0"
"10004","1004","stringers + DW","2.55795384873636E-13","0","-1.30562227695918E-13","0","-3.41060513164848E-13","0"
"10004","1005","stringers + DW","-2.55795384873636E-13","0","1.30562227695918E-13","0","-1.02318153949454E-12","0"
"10004","1005","stringers + DW","-2.55795384873636E-13","0","1.30562227695918E-13","0","-1.02318153949454E-12","0"
"10005","1005","stringers + DW","4.9737991503207E-13","0","-1.05693231944315E-13","0","5.40012479177676E-13","0"
"10005","1005","stringers + DW","4.9737991503207E-13","0","-1.05693231944315E-13","0","5.40012479177676E-13","0"
"10005","1006","stringers + DW","-4.9737991503207E-13","0","1.05693231944315E-13","0","-4.83169060316868E-13","0"
"10005","1006","stringers + DW","-4.9737991503207E-13","0","1.05693231944315E-13","0","-4.83169060316868E-13","0"
"10006","1006","stringers + DW","9.37916411203332E-13","0","-95.6109991073608","0","1.08002495835535E-12","0"
"10006","1006","stringers + DW","9.37916411203332E-13","0","-95.6109991073608","0","1.08002495835535E-12","0"
"10006","1007","stringers + DW","-9.37916411203332E-13","0","95.6109991073608","0","47.8054995536804","0"
"10006","1007","stringers + DW","-9.37916411203332E-13","0","95.6109991073608","0","47.8054995536804","0"
"10007","1007","stringers + DW","7.24753590475302E-13","0","-95.6109991073608","0","-47.8054995536804","0"
"10007","1007","stringers + DW","7.24753590475302E-13","0","-95.6109991073608","0","-47.8054995536804","0"
"10007","1008","stringers + DW","-7.24753590475302E-13","0","95.6109991073608","0","95.6109991073608","0"
"10007","1008","stringers + DW","-7.24753590475302E-13","0","95.6109991073608","0","95.6109991073608","0"
"10008","1008","stringers + DW","6.96331881044898E-13","0","-193.975001335144","0","-95.6109991073608","0"
"10008","1008","stringers + DW","6.96331881044898E-13","0","-193.975001335144","0","-95.6109991073608","0"
"10008","1009","stringers + DW","-6.96331881044898E-13","0","193.975001335144","0","192.598507404327","0"
"10008","1009","stringers + DW","-6.96331881044898E-13","0","193.975001335144","0","192.598507404327","0"
"10009","1009","stringers + DW","-4.51905179943424E-12","0","76.9745733737946","0","-192.598507404327","0"
"10009","1009","stringers + DW","-4.51905179943424E-12","0","76.9745733737946","0","-192.598507404327","0"
"10009","1010","stringers + DW","4.51905179943424E-12","0","-76.9745733737946","0","154.111217021942","0"
"10009","1010","stringers + DW","4.51905179943424E-12","0","-76.9745733737946","0","154.111217021942","0"
"10010","1010","stringers + DW","-4.51905179943424E-12","0","76.9745733737946","0","-154.111217021942","0"
"10010","1010","stringers + DW","-4.51905179943424E-12","0","76.9745733737946","0","-154.111217021942","0"
"10010","1011","stringers + DW","4.51905179943424E-12","0","-76.9745733737946","0","115.623926401138","0"
"10010","1011","stringers + DW","4.51905179943424E-12","0","-76.9745733737946","0","115.623926401138","0"
"10011","1011","stringers + DW","-4.09272615797818E-12","0","76.9745733737946","0","-115.623926401138","0"
"10011","1011","stringers + DW","-4.09272615797818E-12","0","76.9745733737946","0","-115.623926401138","0"
"10011","1012","stringers + DW","4.09272615797818E-12","0","-76.9745733737946","0","77.1366357803345","0"
"10011","1012","stringers + DW","4.09272615797818E-12","0","-76.9745733737946","0","77.1366357803345","0"
"10012","1012","stringers + DW","-3.5811353882309E-12","0","76.9745733737946","0","-77.1366357803345","0"
"10012","1012","stringers + DW","-3.5811353882309E-12","0","76.9745733737946","0","-77.1366357803345","0"
"10012","1013","stringers + DW","3.5811353882309E-12","0","-76.9745733737946","0","38.6493492126465","0"
"10012","1013","stringers + DW","3.5811353882309E-12","0","-76.9745733737946","0","38.6493492126465","0"
"10013","1013","stringers + DW","-4.03588273911737E-12","0","76.9745733737946","0","-38.6493492126465","0"
"10013","1013","stringers + DW","-4.03588273911737E-12","0","76.9745733737946","0","-38.6493492126465","0"
"10013","1014","stringers + DW","4.03588273911737E-12","0","-76.9745733737946","0","0.162063837051392","0"
"10013","1014","stringers + DW","4.03588273911737E-12","0","-76.9745733737946","0","0.162063837051392","0"
"10014","1014","stringers + DW","-4.03588273911737E-12","0","76.9745733737946","0","-0.162063837051392","0"
"10014","1014","stringers + DW","-4.03588273911737E-12","0","76.9745733737946","0","-0.162063837051392","0"
"10014","1015","stringers + DW","4.03588273911737E-12","0","-76.9745733737946","0","-38.3252241611481","0"
"10014","1015","stringers + DW","4.03588273911737E-12","0","-76.9745733737946","0","-38.3252241611481","0"
"10015","1015","stringers + DW","-3.5811353882309E-12","0","76.9745733737946","0","38.3252241611481","0"
"10015","1015","stringers + DW","-3.5811353882309E-12","0","76.9745733737946","0","38.3252241611481","0"
"10015","1016","stringers + DW","3.5811353882309E-12","0","-76.9745733737946","0","-76.8125109672546","0"
"10015","1016","stringers + DW","3.5811353882309E-12","0","-76.9745733737946","0","-76.8125109672546","0"
"10016","1016","stringers + DW","-4.06430444854777E-12","0","76.9745733737946","0","76.8125109672546","0"
"10016","1016","stringers + DW","-4.06430444854777E-12","0","76.9745733737946","0","76.8125109672546","0"
"10016","1017","stringers + DW","4.06430444854777E-12","0","-76.9745733737946","0","-115.29980134964","0"
"10016","1017","stringers + DW","4.06430444854777E-12","0","-76.9745733737946","0","-115.29980134964","0"
"10017","1017","stringers + DW","-2.74269496003399E-12","0","76.9745733737946","0","115.29980134964","0"
"10017","1017","stringers + DW","-2.74269496003399E-12","0","76.9745733737946","0","115.29980134964","0"
"10017","1018","stringers + DW","2.74269496003399E-12","0","-76.9745733737946","0","-153.787092208862","0"
"10017","1018","stringers + DW","2.74269496003399E-12","0","-76.9745733737946","0","-153.787092208862","0"
"10018","1018","stringers + DW","-3.60955709766131E-12","0","76.9745733737946","0","153.787092208862","0"
"10018","1018","stringers + DW","-3.60955709766131E-12","0","76.9745733737946","0","153.787092208862","0"
"10018","1019","stringers + DW","3.60955709766131E-12","0","-76.9745733737946","0","-192.274367332458","0"
"10018","1019","stringers + DW","3.60955709766131E-12","0","-76.9745733737946","0","-192.274367332458","0"
"10019","1019","stringers + DW","-2.91322521661641E-12","0","76.9745733737946","0","192.274367332458","0"
